Line1,Ignore,Key field,Page,Mandatory,Validation,Key,Default,Preference,
Referrer's name,,y,1,y,String,Referrer,,,
Referrer's E mail,,y,1,y,email,Referrer Email,,,
Referrer's Organisation,,y,1,Either this or next one,Choose 0 or 1,Organisation,,,Organisation list
What is the name of your organisation?,,y,1,Either this or previous,String,Organisation,,,
Referrer's Contact Number,,y,1,y,Phone number,Referrer Phone,,,
Client's First Name,,y,1,y,String,Client Frist Name,,,
Client's Surname,,y,1,y,String,Client Surname,,,
Client's date of birth,,y,1,y,Date,DoB,,,
Client's Address,,y,1,y,String (all on 1 line),Address,,,
Client's Postcode,,y,1,y,Postcode,Postcode,,,Format in capitals AAn nAA or AAnn nAA 
Client's Contact Number,,y,1,n,Phone number,Client contact,,,
Session date,,y,1,y,Valid session,Session,,,
Is the client eligible for delivery? (Housebound or Covid positive ONLY.) Otherwise clients must make their own arrangements. Someone else can collect on their behalf.,,y,1,n,"Choose 0 or 1 (""yes"")",Delivery,,,
Will someone collect on behalf of the client?,,,1,n,String,Collect,,,
Number of adults in clients family,,y,2,y,Number,Adults,,,
Number of children in client's family,,y,2,y,Number,Children,,,
Number of children in each age bracket (if unknown tick 0) [Age 0-2],,,2,n,Number,Child 0-2,,,
Number of children in each age bracket (if unknown tick 0) [Age 3-4],,,2,n,Number,Child 3-4,,,
Number of children in each age bracket (if unknown tick 0) [Age 5-11],,,2,n,Number,Child 5-11,,,
Number of children in each age bracket (if unknown tick 0) [Age 12-17],,,2,n,Number,Child 12-17,,,
Main Cause of Crisis,,y,3,y,Choose exactly 1,Primary,,,Cause of crisis list
Main Cause of Crisis - Additional Comments,,,3,n,String,Cause Details,,,
Secondary Cause of Crisis,,,3,n,Choose 0 or 1 ,Secondary,,,Cause of crisis list
Please specify any dietary requirements,,,4,n,String,Dietary,,y,
Would they prefer pasta or rice?,,,4,n,0 or 1 (Pasta/Rice/Both),Pasta/Rice,Both,y,
Would they like flour or sugar?,,,4,n,0 or 1 (Sugar/Flour/SR Flour),Sugar/Flour,,y,
Do they require cooking oil?,,,4,n,0 or 1 (Yes),Oil,Yes,y,
"Would they prefer tea, coffee or hot chocolate?",,,4,n,0 or 1 (Tea/Coffee/Both),Tea/Coffee,Both,y,
Would they like eggs?,,,4,n,0 or 1 (Yes),Eggs,Yes,y,
Would they like porridge oats?,,,4,n,0 or 1 (Yes),Porridge,,y,
Would they like cat/ dog food? (Please state number of cats/ dogs in 'other' free text box.) Please note we do not have other types of pet food.,,,4,n,String,Pets,,y,
What would be their preference of spread (Please only select 1 spread if 1-2 peopleand 2 spreads if 3 or more in household),,,4,n,Choose 0-2,Spread,,y,
Would they like tinned pulses? (if they have a preference please use the 'other' free text option),,,4,n,String,Pulses,,y,
Would they like sanitary products?,,,5,n,0 or 1 (Yes),Sanitary,,y,
Please select which THREE toiletries they require most. We give everyone toilet roll.,,,5,n,0-3 from list,Toiletries,Shower Gel/Deodorant/Conditioner,y,
Do they require nappies?,,,5,n,0 or 1 (List of sizes),Nappies,,y,
Do they require baby food?,,,5,n ,0 or 1 (Yes),Baby Food,,y,
Do they require baby milk?,,,5,n ,0 or 1 (List of types of baby milk),Baby Milk,,y,
Please select which THREE household items they require most. ,,,5,n,0-3 from list,Household,"Spray Cleaner, Detergent, Washing Up liquid",y,
Does the client need help with their gas and/or electricity?,,y,6,n,0-1 (Yes),Fuel,,,
Is the client on pre-payment meters and in fuel crisis?,,,6,Greyed out unless  Yes for fuel,0-1 (Yes),Pre-Payment,,,
Has the client given permission for us to call them about their fuel?,,,6,Greyed out unless  Yes for fuel,0-1 (Yes),Contact approved,,,
Any additional information?,,,7,n,String,Other,,y,
